08 Oct 2018 17:15:29 read_data.py[line:38] INFO Now do the stock predict task ,date:20181008
08 Oct 2018 17:15:35 read_data.py[line:116] INFO ['20181008', '002852.SZ', 12.47, '20181015', 12.73375898718834, 12.369995997548104, '20181009', 12.56996259957552, 12.268282995820046, '持平', 0.4780220091342926]
08 Oct 2018 17:15:35 read_data.py[line:116] INFO ['20181008', '601628.SH', 21.73, '20181009', 22.100189994573594, 21.654211502075196, '20181015', 21.831026996970177, 21.45096100449562, '上涨', 0.5588909983634949]
08 Oct 2018 17:15:36 read_data.py[line:116] INFO ['20181008', '603007.SH', 9.78, '20181009', 10.150189994573593, 9.704211502075195, '20181015', 9.881026996970176, 9.50096100449562, '上涨', 0.5588909983634949]
08 Oct 2018 17:15:36 read_data.py[line:116] INFO ['20181008', '600532.SH', 4.79, '20181009', 5.402227022647858, 4.689470999836922, '20181009', 4.996497997045517, 4.3801820063591, '持平', 0.5241280198097229]
08 Oct 2018 17:15:36 read_data.py[line:116] INFO ['20181008', '300143.SZ', 11.2, '20181015', 11.61143000125885, 11.10021850168705, '20181009', 11.299937297403812, 10.64864398241043, '下跌', 0.6062529981136322]
08 Oct 2018 17:15:37 read_data.py[line:116] INFO ['20181008', '603363.SH', 11.23, '20181015', 11.666369001865387, 11.129724997580052, '20181009', 11.33079299658537, 10.99213900744915, '下跌', 0.5670849978923798]
08 Oct 2018 17:15:37 read_data.py[line:116] INFO ['20181008', '603338.SH', 52.71, '20181015', 53.12143000125885, 52.61021850168705, '20181009', 52.80993729740381, 52.15864398241043, '下跌', 0.6062529981136322]
08 Oct 2018 17:15:37 read_data.py[line:116] INFO ['20181008', '600622.SH', 5.9, '20181015', 6.295765006542206, 5.79979299902916, '20181009', 6.000308999419213, 5.671181002259255, '下跌', 0.6376810073852539]
08 Oct 2018 17:15:37 read_data.py[line:116] INFO ['20181008', '601398.SH', 5.56, '20181015', 5.97143000125885, 5.4602185016870495, '20181009', 5.659937297403812, 5.0086439824104305, '下跌', 0.6062529981136322]
08 Oct 2018 17:15:37 read_data.py[line:116] INFO ['20181008', '600863.SH', 2.22, '20181015', 2.6314300012588503, 2.12021850168705, '20181009', 2.3199372974038126, 1.668643982410431, '下跌', 0.6062529981136322]
